station_id,value,timestamp
S109,28.4,2024-05-13T00:01:00+08:00
S117,28.8,2024-05-13T00:01:00+08:00
S50,28.4,2024-05-13T00:01:00+08:00
S107,29.8,2024-05-13T00:01:00+08:00
S43,29.2,2024-05-13T00:01:00+08:00
S44,27.9,2024-05-13T00:01:00+08:00
S121,27.5,2024-05-13T00:01:00+08:00
S111,28.5,2024-05-13T00:01:00+08:00
S60,28.7,2024-05-13T00:01:00+08:00
S24,29.2,2024-05-13T00:01:00+08:00
S116,29.3,2024-05-13T00:01:00+08:00
S104,27.4,2024-05-13T00:01:00+08:00
